u,v,w,p,s,d,r,vtkValidPointMask,arc_length,Points0,Points1,Points2
0,7.404e-07,4.1147e-06,2.4123e-05,1.4569e-08,0,0,1,3.6,3.6,1,0
0,1.0791e-06,3.7842e-06,2.1357e-05,2.7125e-08,0,0,1,3.618,3.618,1,0
0,1.4178e-06,3.4537e-06,1.8592e-05,3.9682e-08,0,0,1,3.636,3.636,1,0
0,1.7565e-06,3.1232e-06,1.5827e-05,5.2239e-08,0,0,1,3.654,3.654,1,0
1.3181e-21,1.9109e-06,2.8464e-06,1.3567e-05,5.7257e-08,0,0,1,3.672,3.672,1,0
-8.1596e-22,1.8505e-06,2.6321e-06,1.1894e-05,5.349e-08,0,0,1,3.69,3.69,1,0
-7.5319e-22,1.7901e-06,2.4178e-06,1.0222e-05,4.9724e-08,0,0,1,3.708,3.708,1,0
1.0043e-21,1.7297e-06,2.2035e-06,8.5492e-06,4.5957e-08,0,0,1,3.726,3.726,1,0
1.2553e-21,1.6693e-06,1.9892e-06,6.8766e-06,4.2191e-08,0,0,1,3.744,3.744,1,0
0,1.6089e-06,1.7749e-06,5.2041e-06,3.8425e-08,0,0,1,3.762,3.762,1,0
-2.5106e-22,1.5485e-06,1.5606e-06,3.5315e-06,3.4658e-08,0,0,1,3.78,3.78,1,0
5.0213e-22,1.4881e-06,1.3463e-06,1.859e-06,3.0892e-08,0,0,1,3.798,3.798,1,0
0,1.4277e-06,1.132e-06,1.8646e-07,2.7126e-08,0,0,1,3.816,3.816,1,0
-1.0043e-21,1.3672e-06,9.1767e-07,-1.4861e-06,2.3359e-08,0,0,1,3.834,3.834,1,0
-5.0213e-22,1.3068e-06,7.0337e-07,-3.1586e-06,1.9593e-08,0,0,1,3.852,3.852,1,0
5.0213e-22,1.2464e-06,4.8907e-07,-4.8312e-06,1.5826e-08,0,0,1,3.87,3.87,1,0
-1.5064e-21,1.186e-06,2.7477e-07,-6.5037e-06,1.206e-08,0,0,1,3.888,3.888,1,0
0,1.1256e-06,6.0466e-08,-8.1763e-06,8.2936e-09,0,0,1,3.906,3.906,1,0
1.0043e-21,1.0652e-06,-1.5384e-07,-9.8488e-06,4.5272e-09,0,0,1,3.924,3.924,1,0
0,1.0048e-06,-3.6814e-07,-1.1521e-05,7.6081e-10,0,0,1,3.942,3.942,1,0
1.0043e-21,9.4439e-07,-5.8244e-07,-1.3194e-05,-3.0056e-09,0,0,1,3.96,3.96,1,0
0,8.8398e-07,-7.9674e-07,-1.4866e-05,-6.772e-09,0,0,1,3.978,3.978,1,0
1.0043e-21,8.2357e-07,-1.011e-06,-1.6539e-05,-1.0538e-08,0,0,1,3.996,3.996,1,0
0,7.6317e-07,-1.2253e-06,-1.8212e-05,-1.4305e-08,0,0,1,4.014,4.014,1,0
1.0043e-21,7.0276e-07,-1.4397e-06,-1.9884e-05,-1.8071e-08,0,0,1,4.032,4.032,1,0
0,6.4235e-07,-1.654e-06,-2.1557e-05,-2.1838e-08,0,0,1,4.05,4.05,1,0
1.0043e-21,5.8194e-07,-1.8683e-06,-2.3229e-05,-2.5604e-08,0,0,1,4.068,4.068,1,0
1.0043e-21,5.2154e-07,-2.0826e-06,-2.4902e-05,-2.937e-08,0,0,1,4.086,4.086,1,0
0,4.748e-07,-2.2634e-06,-2.6349e-05,-3.2724e-08,0,0,1,4.104,4.104,1,0
0,6.4454e-07,-1.9151e-06,-2.4232e-05,-2.9549e-08,0,0,1,4.122,4.122,1,0
0,8.1427e-07,-1.5668e-06,-2.2115e-05,-2.6374e-08,0,0,1,4.14,4.14,1,0
0,9.84e-07,-1.2184e-06,-1.9999e-05,-2.3199e-08,0,0,1,4.158,4.158,1,0
0,9.7547e-07,-1.1955e-06,-1.9633e-05,-2.2196e-08,0,0,1,4.176,4.176,1,0
0,9.5737e-07,-1.1901e-06,-1.9361e-05,-2.131e-08,0,0,1,4.194,4.194,1,0
0,9.3926e-07,-1.1847e-06,-1.909e-05,-2.0424e-08,0,0,1,4.212,4.212,1,0
0,9.2116e-07,-1.1793e-06,-1.8818e-05,-1.9538e-08,0,0,1,4.23,4.23,1,0
0,9.0305e-07,-1.1739e-06,-1.8547e-05,-1.8652e-08,0,0,1,4.248,4.248,1,0
0,8.8494e-07,-1.1685e-06,-1.8275e-05,-1.7766e-08,0,0,1,4.266,4.266,1,0
0,8.6684e-07,-1.1631e-06,-1.8003e-05,-1.688e-08,0,0,1,4.284,4.284,1,0
0,8.4873e-07,-1.1576e-06,-1.7732e-05,-1.5994e-08,0,0,1,4.302,4.302,1,0
0,8.3063e-07,-1.1522e-06,-1.746e-05,-1.5108e-08,0,0,1,4.32,4.32,1,0
0,8.1252e-07,-1.1468e-06,-1.7189e-05,-1.4222e-08,0,0,1,4.338,4.338,1,0
0,7.9441e-07,-1.1414e-06,-1.6917e-05,-1.3336e-08,0,0,1,4.356,4.356,1,0
0,7.7631e-07,-1.136e-06,-1.6646e-05,-1.245e-08,0,0,1,4.374,4.374,1,0
0,7.582e-07,-1.1306e-06,-1.6374e-05,-1.1564e-08,0,0,1,4.392,4.392,1,0
0,7.401e-07,-1.1252e-06,-1.6102e-05,-1.0678e-08,0,0,1,4.41,4.41,1,0
0,7.2199e-07,-1.1198e-06,-1.5831e-05,-9.7917e-09,0,0,1,4.428,4.428,1,0
0,7.039e-07,-1.1118e-06,-1.5587e-05,-8.8699e-09,0,0,1,4.446,4.446,1,0
0,6.859e-07,-1.0929e-06,-1.5462e-05,-7.7944e-09,0,0,1,4.464,4.464,1,0
0,6.6789e-07,-1.074e-06,-1.5337e-05,-6.7188e-09,0,0,1,4.482,4.482,1,0
0,6.4989e-07,-1.0551e-06,-1.5212e-05,-5.6432e-09,0,0,1,4.5,4.5,1,0
0,6.3188e-07,-1.0362e-06,-1.5087e-05,-4.5676e-09,0,0,1,4.518,4.518,1,0
0,6.1388e-07,-1.0173e-06,-1.4961e-05,-3.4921e-09,0,0,1,4.536,4.536,1,0
0,5.9587e-07,-9.9837e-07,-1.4836e-05,-2.4165e-09,0,0,1,4.554,4.554,1,0
0,5.7787e-07,-9.7947e-07,-1.4711e-05,-1.3409e-09,0,0,1,4.572,4.572,1,0
0,5.3424e-07,-9.7389e-07,-1.4053e-05,-9.9278e-10,0,0,1,4.59,4.59,1,0
0,4.8267e-07,-9.7245e-07,-1.3229e-05,-8.7026e-10,0,0,1,4.608,4.608,1,0
0,4.3297e-07,-9.4097e-07,-1.2317e-05,-7.374e-10,0,0,1,4.626,4.626,1,0
0,3.8869e-07,-8.2251e-07,-1.1148e-05,-5.7458e-10,0,0,1,4.644,4.644,1,0
0,3.4442e-07,-7.0405e-07,-9.9796e-06,-4.1176e-10,0,0,1,4.662,4.662,1,0
0,3.0014e-07,-5.856e-07,-8.8112e-06,-2.4894e-10,0,0,1,4.68,4.68,1,0
0,2.5587e-07,-4.6714e-07,-7.6427e-06,-8.6121e-11,0,0,1,4.698,4.698,1,0
0,2.1159e-07,-3.4867e-07,-6.4742e-06,7.6699e-11,0,0,1,4.716,4.716,1,0
-4.6111e-22,1.6732e-07,-2.3021e-07,-5.3057e-06,2.3952e-10,0,0,1,4.734,4.734,1,0
4.6111e-22,1.2304e-07,-1.1176e-07,-4.1372e-06,4.0233e-10,0,0,1,4.752,4.752,1,0
